"Measures","SD10Folds"
"accuracy",0.0224133637350793
"average-precision",0.0155873405188703
"clp",0
"coverage",0.047353140205483
"F1",0.0232761168386514
"hamming-loss",0.0112066818675395
"macro-AUC",0.0490398161999822
"macro-F1",0.0801383949182027
"macro-precision",0.0814299319798033
"macro-recall",0.0967176294507865
"margin-loss",0.0480154686583899
"micro-AUC",0.0143170463630118
"micro-F1",0.0223187356227924
"micro-precision",0.0228360964820314
"micro-recall",0.0268084921708675
"mlp",0
"one-error",0.0263589312212049
"precision",0.0228816612447907
"ranking-loss",0.0160919514793048
"recall",0.0262159723197598
"subset-accuracy",0.0224052148246878
"wlp",0.0790569415042095
